AWS Extension Dependency,Function category,complexity,Efforts(Hours)
aws_oracle_ext.v$version,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.v$nls_parameters,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.v$instance,SYSTEM_VIEWS,MEDIUM,2
aws_oracle_ext.utl_url$unescape,URL_PROCESSING_ESCAPE,MEDIUM,2
aws_oracle_ext.utl_url$escape,URL_PROCESSING_ESCAPE,MEDIUM,2
aws_oracle_ext.utl_smtp$write_raw_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$write_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$starttls,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$rset,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$reply,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$replies,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$rcpt,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$quit,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$open_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$open_connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$open_connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$noop,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$mail,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$helo,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$ehlo,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$close_data,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$close_connection,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_smtp$auth,EMAIL_COMMUNICATION,COMPLEX,4
aws_oracle_ext.utl_file$put_raw,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$put_line,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$putf,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$put,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$new_line,EXTERNAL_FILE_PROCESSING,COMPLEX,4
aws_oracle_ext.utl_file$is_open,EXTERNAL_FILE_PROCESSING,COMPLEX,4
